id,service_provider,activity,well_name,template_id,split,heldout_provider,heldout_activity
1722,Baker Hughes,rot. drilping,WELL-NS-22A,baker_hughes_rotary_drilling_v2,train,0,0
1723,SLB,drilling rotary,KG 76,slb_rotary_drilling_v1,train,0,0
1724,bkr,hole cirrculation,KG32ST1,baker_hughes_circulating_v1,train,0,0
1725,Slb,trip-in,ns-31,slb_trip_in_v1,train,0,0
1726,Bakjr Hughes,slidiing,WELL-MB-4,baker_hughes_slide_drilling_v1,test,0,0
1727,HAL,DIRECTIONAL SLIDE,WELL-KG-7,halliburton_slide_drilling_v1,test,0,1
1728,Baker Hughes Co,Slidee Drill,WELL-KG-21,baker_hughes_slide_drilling_v1,train,0,0
1729,Halliburtonco,rotary drilling,KG 93A,halliburton_rotary_drilling_v1,train,0,0
1730,bakerrughes,rot drill,WELL-BH-94,baker_hughes_rotary_drilling_v1,train,0,0
1731,  BKR ,slidiing,AR-074,baker_hughes_slide_drilling_v1,val,0,0
1732,Halliburton,circuldte,WELL-NS-32ST1,halliburton_circulating_v2,train,0,0
1733,Hlliburton Co,Rotary Drilling,AR 93ST1,halliburton_rotary_drilling_v2,train,0,0
1734,Bake Hughes Co,Circulating,KG 26,baker_hughes_circulating_v1,train,0,0
1735,halliubrton,rot. drilling,BH-055A,halliburton_rotary_drilling_v1,val,0,0
1736,Baker Hughes Co,  circ. ,AR 9A,baker_hughes_circulating_v2,val,0,0
1737,halliburton co,TOOH,BH17,halliburton_trip_out_v1,train,0,0
1738,Halliburton,pooh,BH 86A,halliburton_trip_out_v1,train,0,0
1739,Halliburton,sliding mode drilling,WELL-BH-32,halliburton_slide_drilling_v1,train,0,0
1740,HAL,Rot Drill,MB 41,halliburton_rotary_drilling_v1,train,0,0
1741,halliburton,SLIDE DRLG,AR-69H,halliburton_slide_drilling_v1,train,0,0
1742,SLB Ltd,sliding mode drilling,ar-21,slb_slide_drilling_v1,train,0,0
1743,Halliburton Co,trip-ot,KG-97ST1,halliburton_trip_out_v1,train,0,0
1744,Baker Huges,running in the hole,BH-2,baker_hughes_trip_in_v1,test,0,1
1745,schlumberger,  circulatig ,kg-36H,slb_circulating_v1,train,0,0
1746,bakerhughs,Drilling - Slide,NS 52ST1,baker_hughes_slide_drilling_v1,train,0,0
1747,Baker Hughes Co,slide drill,kg-18,baker_hughes_slide_drilling_v1,val,0,0
1748,Baker-HHughes,  circulation ,MB-69,baker_hughes_circulating_v1,test,1,0
1749,BakerHughes,rot drill,bh-84ST1,baker_hughes_rotary_drilling_v1,train,0,0
1750,slb,rotating drilling,NS-025ST1,slb_rotary_drilling_v2,test,0,1
1751,  halliburton  energy services ,  rotary  drlg ,NS-034ST1,halliburton_rotary_drilling_v2,train,0,0
1752,Halliburton Energy Services,CIRC,NS-57,halliburton_circulating_v2,val,0,0
1753,SCHLUMBERGER LIMITED,pulling out oof hole,BH 11,slb_trip_out_v1,test,1,0
1754,baker hughes,trip-out,BH 26,baker_hughes_trip_out_v1,test,0,0
1755,Slb Ltd,circulation,bh-11,slb_circulating_v1,test,0,0
1756,Schlumberger Limited,CIRC,MB9H,slb_circulating_v1,test,1,0
1757,baker hughes,CIRRC,ns-87,baker_hughes_circulating_v2,train,0,0
1758,schlumberger,trip out,WELL-KG-65,slb_trip_out_v1,train,0,0
1759,  Baker  Hughes Eo ,running in hole,WELL-MB-52,baker_hughes_trip_in_v1,train,0,0
1760,BKR,rotary  drlg,MB 96ST1,baker_hughes_rotary_drilling_v1,train,0,0
1761,Schlumberger Limited,run in hole,mb-21,slb_trip_in_v1,test,1,0
1762,Schlumberger Ltd,circulating,BH-89ST1,slb_circulating_v1,train,0,0
1763,Halliburton Energy Services,rotary drlg,NS 7,halliburton_rotary_drilling_v2,train,0,0
1764,Baker Hughes,trippimg in,WELL-NS-14A,baker_hughes_trip_in_v1,test,0,0
1765,Schlumberger,run in hole,MB35A,slb_trip_in_v1,train,0,0
1766,SLB,slide drilling,KG-82,slb_slide_drilling_v1,train,0,0
1767,  Hlaliburton ,circulate,WELL-KG-12A,halliburton_circulating_v1,train,0,0
1768,  schlumberger  ltd ,cirrculate,WELL-KG-12A,slb_circulating_v1,train,0,0
1769,Halliburton,pull out of hole,WELL-BH-42,halliburton_trip_out_v1,val,0,0
1770,HALLIBURTON,  RTO  DRILL ,KG97ST1,halliburton_rotary_drilling_v1,train,0,0
1771,Halliburton Energy Services,sliding,WELL-BH-98,halliburton_slide_drilling_v1,train,0,0
1772,  Halliburton  Co ,SLIDE DRIL,MB-42A,halliburton_slide_drilling_v1,val,0,0
1773,SLB,CRC,ar-21,slb_circulating_v2,train,0,0
1774,SCHLUMBERGER LTD,rtoary drilling,NS-001A,slb_rotary_drilling_v2,val,0,0
1775,SLB,trip-in,BH58A,slb_trip_in_v1,val,0,0
1776,Halliburton Co,rot. drilling,NS71,halliburton_rotary_drilling_v2,train,0,0
1777,SLB,sliding moe drilling,WELL-BH-89ST1,slb_slide_drilling_v1,train,0,0
1778,Schlubmerger Ltd,rotary drlg,MB49,slb_rotary_drilling_v1,train,0,0
1779,HAL,slidig,BH38,halliburton_slide_drilling_v1,train,0,0
1780,bakerhughes,drilling rotary,WELL-BH-8,baker_hughes_rotary_drilling_v1,train,0,0
1781,SLB,slide drilling,AR-15H,slb_slide_drilling_v1,train,0,0
1782,halliburton,trippig out,WELL-BH-22ST1,halliburton_trip_out_v1,train,0,0
1783,SLBXLTD,sliding mode drilling,mb-81H,slb_slide_drilling_v1,train,0,0
1784,SLB Ltd,circulate,MB 97ST1,slb_circulating_v1,train,0,0
1785,Schlumberegr,rot. drilling,AR-97,slb_rotary_drilling_v2,train,0,0
1786,  Schlumberger ,Circ.,AR-39H,slb_circulating_v2,train,0,0
1787,baker hughes co,SLIDE DRILLINNG,WELL-KG-32ST1,baker_hughes_slide_drilling_v1,train,0,0
1788,Schlumbergr Ltd,Tripping Out,BH9H,slb_trip_out_v1,train,0,0
1789,bakerhughes,ROTRAY DRILL,ns-32ST1,baker_hughes_rotary_drilling_v2,train,0,0
1790,SLB Ltd,TRIPPING IN,KG-29H,slb_trip_in_v1,test,0,0
1791,HAL,ROT DRILL,KG 93A,halliburton_rotary_drilling_v1,train,0,0
1792,Halliburton,  Rotary  Drilling ,WELL-MB-18,halliburton_rotary_drilling_v1,val,0,0
1793,HAL,circulation,mb-34ST1,halliburton_circulating_v1,val,0,0
1794,Halliburhon,TRIPO UT,BH-055A,halliburton_trip_out_v1,val,0,0
1795,Schlumberger,trip-in,MB-74H,slb_trip_in_v1,train,0,0
1796,Hal,drilling - slide,NS 37H,halliburton_slide_drilling_v1,val,0,0
1797,Schlumberger Ltd,trip-out,AR-41A,slb_trip_out_v1,val,0,0
1798,BakerHughes,Drilling - Rotary,kg-86H,baker_hughes_rotary_drilling_v1,train,0,0
1799,Hallibruton Energy Services,trip-in,NS31,halliburton_trip_in_v1,train,0,0
1800,Halliburton Corp,fluid circulation,AR-18,halliburton_circulating_v2,test,1,1
1801,BKR,Circulation,BH-47,baker_hughes_circulating_v1,val,0,0
1802,Slb,ROTARY DRILLING,WELL-KG-71,slb_rotary_drilling_v1,train,0,0
1803,  BakerHughes ,rot. drilling,kg-82,baker_hughes_rotary_drilling_v1,train,0,0
1804,Slb,Circulatte,KG1H,slb_circulating_v1,val,0,0
1805,Schulmberger Ltd,directional slide,WELL-NS-14A,slb_slide_drilling_v1,test,0,1
1806,slb,slide drilling,BH36,slb_slide_drilling_v1,train,0,0
1807,SCHLUMBERRGER LTD,  pulling  out of hole ,AR 71ST1,slb_trip_out_v1,val,0,0
1808,hal,Hole Ciirculation,AR80A,halliburton_circulating_v2,val,0,0
1809,hal,circulqte,ns-34ST1,halliburton_circulating_v2,train,0,0
1810,Bakerhughes,FLUID CIRCULATION,BH 2,baker_hughes_circulating_v1,test,0,1
1811,SCHLUMBERGER LTD,rot. drilling,BH-093,slb_rotary_drilling_v1,val,0,0
1812,BKR,  Slide  Mode Drilling ,AR-032ST1,baker_hughes_slide_drilling_v1,test,0,1
1813,bkr,rot. drilling,BH-047,baker_hughes_rotary_drilling_v1,val,0,0
1814,Slb Intl,Trip-In,bh-2,slb_trip_in_v1,test,1,0
1815,slb ltd,RRTARY DRILL,mb-78,slb_rotary_drilling_v1,train,0,0
1816,schlumberger ltd,hole circulation,mb-81H,slb_circulating_v1,train,0,0
1817,Halliburton,circulating,NS 57,halliburton_circulating_v2,val,0,0
1818,Slb,runningin hole,WELL-MB-5ST1,slb_trip_in_v1,train,0,0
1819,Halliburton Co,ciirc.,BH-52A,halliburton_circulating_v1,train,0,0
1820,BAKER HUGHES,  CIRRC ,NS80ST1,baker_hughes_circulating_v2,train,0,0
1821,SB LTD,CIRC,MB 8ST1,slb_circulating_v1,train,0,0
1822,slb,rotary drill,NS-034ST1,slb_rotary_drilling_v2,train,0,0
1823,Schlumberger Ltd,cinc.,WELL-NS-50ST1,slb_circulating_v2,train,0,0
1824,Halliburton Co,rotary dlg,AR 68H,halliburton_rotary_drilling_v2,train,0,0
1825,Slb Ltd,tripping out,MB32ST1,slb_trip_out_v1,val,0,0
1826,Halliburton Energy Services,pull out of hole,AR 39H,halliburton_trip_out_v1,train,0,0
1827,Baker-Hughes,rztary drill,KG-7,baker_hughes_rotary_drilling_v1,test,1,0
1828,Slb Ltd,circulating,KG 26,slb_circulating_v1,train,0,0
1829,  baker  hughes ,slide drlg,KG28ST1,baker_hughes_slide_drilling_v1,val,0,0
1830,Schlumberger,Tih,mb-49,slb_trip_in_v1,train,0,0
1831,HALLIBURTON ENERGY SERVICES,slide drilling,ns-36ST1,halliburton_slide_drilling_v1,train,0,0
1832,Hallburton,circ.,BH42,halliburton_circulating_v1,val,0,0
1833,HAL,ruv in hole,BH52A,halliburton_trip_in_v1,train,0,0
1834,SLB Ltd,drilling rotarry,NS 14A,slb_rotary_drilling_v2,test,0,0
1835,hal,trip-out,KG-014A,halliburton_trip_out_v1,train,0,0
1836,  Schlumberger  Ltd ,drilling rotary,AR-065H,slb_rotary_drilling_v2,train,0,0
1837,schlumberger,POOH,MB 85ST1,slb_trip_out_v1,val,0,0
1838,SLB Ltd,ROT DRILL,AR-065H,slb_rotary_drilling_v2,train,0,0
1839,Bakerhughes,slide drill,KG-14A,baker_hughes_slide_drilling_v1,train,0,0
1840,HALLIBURTON ENERGY SERVICES,TRIP UT,mb-52,halliburton_trip_out_v1,train,0,0
1841,hal,drilling - rotary,KG-71,halliburton_rotary_drilling_v1,train,0,0
1842,Schlumberger,rott drill,WELL-AR-80A,slb_rotary_drilling_v2,val,0,0
1843,Halliiburton,trip in,AR-83,halliburton_trip_in_v1,train,0,0
1844,  Scchlumberger ,trip in,KG-054,slb_trip_in_v1,train,0,0
1845,Schlumberger,ROT DRILL,WELL-KG-95H,slb_rotary_drilling_v1,train,0,0
1846,Baker Hughes Co,rotary dkilling,ns-20H,baker_hughes_rotary_drilling_v2,val,0,0
1847,Schlumbrger,circulaing,ns-18H,slb_circulating_v2,train,0,0
1848,bakerhughes,Rih,ns-1A,baker_hughes_trip_in_v1,val,0,0
1849,SLB,rolary drill,BH 84ST1,slb_rotary_drilling_v1,train,0,0
1850,Halliburton Co,pull out of hope,ar-19,halliburton_trip_out_v1,train,0,0
1851,Halliburton Co,circulation,AR 97,halliburton_circulating_v2,train,0,0
1852,Schlumberger Ltd,ROTARY DRILL,AR 9A,slb_rotary_drilling_v2,val,0,0
1853,Halliburton,  Trip-In ,BH17,halliburton_trip_in_v1,train,0,0
1854,Hal,DRILLING - ROTARY,MB82ST1,halliburton_rotary_drilling_v1,train,0,0
1855,Halliburton,Hole Circuxation,bh-67A,halliburton_circulating_v1,train,0,0
1856,Schlumbegrer,circulating mud,MB-030H,slb_circulating_v1,test,0,1
1857,BakerHughes,slide drlg,NS37H,baker_hughes_slide_drilling_v1,val,0,0
1858,Baker Hughes,ciruclate,KG-88H,baker_hughes_circulating_v1,train,0,0
1859,SCHLUMBREGER LIMITED,tripping in,MB 30H,slb_trip_in_v1,test,1,0
1860,HAL,CICR,kg-88H,halliburton_circulating_v1,train,0,0
1861,BakerHughes,RIH,kg-95H,baker_hughes_trip_in_v1,train,0,0
1862,  halliburton  co ,Drilling Rotary,AR-84,halliburton_rotary_drilling_v2,train,0,0
1863,HAL,POOH,AR37,halliburton_trip_out_v1,train,0,0
1864,BKR,Running In Hole,BH 32,baker_hughes_trip_in_v1,train,0,0
1865,  Hallibutron  Intl ,TRIP-OUT,BH-002,halliburton_trip_out_v1,test,1,0
1866,SLB,rotary drilling,ar-37,slb_rotary_drilling_v2,train,0,0
1867,bkr,ROT DRILL,NS-1A,baker_hughes_rotary_drilling_v2,val,0,0
1868,baker hughes co,rotary drlg,WELL-MB-5ST1,baker_hughes_rotary_drilling_v1,train,0,0
1869,Baker Hughes,  circulating ,MB-35A,baker_hughes_circulating_v1,train,0,0
1870,Halliburton Energy Services,circulation,AR20,halliburton_circulating_v2,test,0,0
1871,Halliburton,Trip In,KG 36H,halliburton_trip_in_v1,train,0,0
1872,SLB,slide drlg,MB-008ST1,slb_slide_drilling_v1,train,0,0
1873,SLB,tirp-out,MB-019H,slb_trip_out_v1,train,0,0
1874,  Halliburton  Energy Serviecs ,rotary drilling,NS-019H,halliburton_rotary_drilling_v2,train,0,0
1875,  BAKER-HUGHES ,circ,MB-4,baker_hughes_circulating_v1,test,1,0
1876,Halliburton,tripping in,kg-76,halliburton_trip_in_v1,train,0,0
1877,Baker Hughes,ROT DRILL,kg-88H,baker_hughes_rotary_drilling_v1,train,0,0
1878,Baekr Hughes,rotary drill,NS-84,baker_hughes_rotary_drilling_v2,train,0,0
1879,BKR,circulation,NS-84,baker_hughes_circulating_v2,train,0,0
1880,Baker Hughes Co,  trip--out ,ns-95H,baker_hughes_trip_out_v1,train,0,0
1881,BAKER HUGHES COMPANY,circulation,BH-070,baker_hughes_circulating_v1,test,1,0
1882,BAKERVUGHES,  pullig  out of hole ,KG-054,baker_hughes_trip_out_v1,train,0,0
1883,  Baker  Hughes Co ,CIRCULATION,KG-1H,baker_hughes_circulating_v1,val,0,0
1884,Halliaurton,tripping out,ar-80A,halliburton_trip_out_v1,val,0,0
1885,HALLIBURTON CO,rot. drilling,NS-62,halliburton_rotary_drilling_v2,train,0,0
1886,Baker Hughes Co,TIH,NS20H,baker_hughes_trip_in_v1,val,0,0
1887,BKR,slide drilling,WELL-NS-57,baker_hughes_slide_drilling_v1,val,0,0
1888,HAL,silde drlg,ar-85,halliburton_slide_drilling_v1,train,0,0
1889,  bakr-hughes ,Tripping In,BH73H,baker_hughes_trip_in_v1,test,1,0
1890,SCHLUMBERGEER,circulating,AR41A,slb_circulating_v2,val,0,0
1891,Baker Hughes Co,rotary drilling,NS 24,baker_hughes_rotary_drilling_v2,train,0,0
1892,SLB Ltd,pull out of hole,BH48H,slb_trip_out_v1,train,0,0
1893,Halliburton Intl,Slide Moded Rilling,AR-094,halliburton_slide_drilling_v1,test,1,1
1894,halliburton intl,Trip Out Of Hole,MB-30H,halliburton_trip_out_v1,test,1,1
1895,HALLIBURTOON CO,sliding mode drilling,NS 19H,halliburton_slide_drilling_v1,train,0,0
1896,slb ltd,CICR.,MB32ST1,slb_circulating_v1,val,0,0
1897,Halliburton,drilling rotary,ns-22A,halliburton_rotary_drilling_v2,train,0,0
1898,HAL,rotary drlg,AR-086H,halliburton_rotary_drilling_v2,val,0,0
1899,BKR,  SLIDE  DRILLING ,BH-28A,baker_hughes_slide_drilling_v1,train,0,0
1900,BAKERHUGHES,slide drilling,WELL-NS-4,baker_hughes_slide_drilling_v1,train,0,0
1901,BakerHughes,TRIPIPNG IN,NS20H,baker_hughes_trip_in_v1,val,0,0
1902,SLB Ltd,SLIDE DRILLING,bh-52A,slb_slide_drilling_v1,train,0,0
1903,bakerhugkes,circulation,AR-085,baker_hughes_circulating_v2,train,0,0
1904,  schlumberger  ltd ,  rotary  drill ,WELL-NS-62,slb_rotary_drilling_v2,train,0,0
1905,SCHLUMBERGER LTD,CRIC,mb-34ST1,slb_circulating_v1,val,0,0
1906,halliburton co,TRIPPINGEOUT,WELL-BH-17,halliburton_trip_out_v1,train,0,0
1907,Baker ughes,run in hole,KG-32ST1,baker_hughes_trip_in_v1,train,0,0
1908,BKR,Ciculate,kg-86H,baker_hughes_circulating_v1,train,0,0
1909,Halliburton Co,  sliding  mode drilling ,MB 35A,halliburton_slide_drilling_v1,train,0,0
1910,SLB,rot. drilling,KG62ST1,slb_rotary_drilling_v1,train,0,0
1911,Baker Hughes Co,drilling - slide,mb-97ST1,baker_hughes_slide_drilling_v1,train,0,0
1912,SLB,  running  in the hole ,ar-18,slb_trip_in_v1,test,0,1
1913,Haalliburton Energy Services,trippingout,WELL-AR-59ST1,halliburton_trip_out_v1,train,0,0
1914,Halliburton,HOLE CIRCULATION,MB 34ST1,halliburton_circulating_v1,val,0,0
1915,BKR,slide mode drilling,WELL-NS-28ST1,baker_hughes_slide_drilling_v1,test,0,1
1916,BAKER HUGHES,Rotary Drlg,BH-86A,baker_hughes_rotary_drilling_v1,train,0,0
1917,  slb   ltd ,dilling - rotary,NS 8,slb_rotary_drilling_v2,train,0,0
1918,HALLIBURTON ENERYG SERVICES,ciru.,KG-44H,halliburton_circulating_v1,train,0,0
1919,  Baker  Hughes Co ,hole circulation,BH 89ST1,baker_hughes_circulating_v1,train,0,0
1920,Baker Hughes,RT DRILL,NS-84,baker_hughes_rotary_drilling_v2,train,0,0
1921,halliburtonenergy services,sliding mode  drilling,WELL-NS-2ST1,halliburton_slide_drilling_v1,train,0,0
1922,BakerHughes,pulling out of hole,kg-14A,baker_hughes_trip_out_v1,train,0,0
1923,baker hughesbco,pulling out of hole,NS-69ST1,baker_hughes_trip_out_v1,train,0,0
1924,baker hughes co,CIRCULATE,AR-73H,baker_hughes_circulating_v2,train,0,0
1925,Hal,rotary dlilling,WELL-BH-52A,halliburton_rotary_drilling_v1,train,0,0
1926,Halliburton Energy Services,trip in hole,AR-014A,halliburton_trip_in_v1,test,0,1
1927,SLB Ltd,Sliding Mode Drilting,KG30,slb_slide_drilling_v1,train,0,0
1928,Schhlumberger,circulate,ns-34ST1,slb_circulating_v2,train,0,0
1929,  BakerHughes ,drilling - rotary,KG88H,baker_hughes_rotary_drilling_v1,train,0,0
1930,slb,DRILLING - ROTARY,mb-92,slb_rotary_drilling_v1,train,0,0
1931,Schlumberger Ptd,Circ,NS 59ST1,slb_circulating_v2,train,0,0
1932,SLB,circulate,BH52A,slb_circulating_v1,train,0,0
1933,Baker Hughes Co,PULL OUT OF HOLE,AR2,baker_hughes_trip_out_v1,val,0,0
1934,schlumberger ltd,Circulating,AR-013,slb_circulating_v2,train,0,0
1935,schlumberger ldt,Running In Hole,BH28A,slb_trip_in_v1,train,0,0
1936,HALLIBURTON CO,  trip-out ,AR 85,halliburton_trip_out_v1,train,0,0
1937,  schlumberger  limited ,running in the hole,WELL-AR-14A,slb_trip_in_v1,test,1,1
1938,Halliburton Energy Services,circulating,AR 28,halliburton_circulating_v2,val,0,0
1939,SLB,running in hole,WELL-BH-17,slb_trip_in_v1,train,0,0
1940,halliburton,trip out,AR 57,halliburton_trip_out_v1,train,0,0
1941,BAKER HUGHES CO,pullinng out of hole,AR-28,baker_hughes_trip_out_v1,val,0,0
1942,HAL,drilling - sliqe,kg-1H,halliburton_slide_drilling_v1,val,0,0
1943,Schlumberger,slide drlg,MB-56ST1,slb_slide_drilling_v1,train,0,0
1944,schlumberger ltd,Slide Dlrg,bh-16,slb_slide_drilling_v1,train,0,0
1945,HALLIBURTON,rotary drilling,AR-85,halliburton_rotary_drilling_v2,train,0,0
1946,HAL,RUN IN HOLE,kg-78,halliburton_trip_in_v1,train,0,0
1947,Schlumberer,circ.,BH-58A,slb_circulating_v1,val,0,0
1948,SLB,TOOH,WELL-BH-84ST1,slb_trip_out_v1,train,0,0
1949,Baker Hughes Co,TRIPPING IN,WELL-NS-22A,baker_hughes_trip_in_v1,train,0,0
1950,SCHLUMBERGER LLTD,CIRC,BH98,slb_circulating_v1,train,0,0
1951,SCHLUMBERGER,Trip-Out,MB-005ST1,slb_trip_out_v1,train,0,0
1952,Halliburton Energy Services,sliding mode driling,KG-088H,halliburton_slide_drilling_v1,train,0,0
1953,SLB LTD,drilling rotary,NS24,slb_rotary_drilling_v2,train,0,0
1954,Schlumberger,HOLE CIRCULATION,BH-28A,slb_circulating_v1,train,0,0
1955,Halliburton Energy Services,Rotary Dril,bh-34A,halliburton_rotary_drilling_v1,train,0,0
1956,Baker Hughes Co,ROTuDRILL,KG44H,baker_hughes_rotary_drilling_v1,train,0,0
1957,  halliburton ,directinoal slide,KG29H,halliburton_slide_drilling_v1,test,0,1
1958,  BAKER  HUGHES CO ,rot. drilling,MB-082ST1,baker_hughes_rotary_drilling_v1,train,0,0
1959,Hallibprton Co,TRIP IN,WELL-NS-20H,halliburton_trip_in_v1,val,0,0
1960,Baker Hughes Co,RUN IN HOLE,AR 87H,baker_hughes_trip_in_v1,train,0,0
1961,BakrHughes,Rot. Drilling,AR70ST1,baker_hughes_rotary_drilling_v2,train,0,0
1962,BAKER HUGHES CO,Tripping In,MB-006ST1,baker_hughes_trip_in_v1,train,0,0
1963,HALLIBURTON CO,ROT. DRILLING,NS 10ST1,halliburton_rotary_drilling_v2,train,0,0
1964,halliburton energy services,Circulaing,ar-84,halliburton_circulating_v2,train,0,0
1965,BKR,pull out of hole,NS60A,baker_hughes_trip_out_v1,train,0,0
1966,HALLIBURTOON,RIH,AR86H,halliburton_trip_in_v1,val,0,0
1967,HALLIBURTON ENERGY SERVICES,tripping in,AR 9A,halliburton_trip_in_v1,val,0,0
1968,HAL,  circulation ,KG88H,halliburton_circulating_v1,train,0,0
1969,Schlumberger,Drilling - Rotary,BH-093,slb_rotary_drilling_v1,val,0,0
1970,Baker Hughes,sliding,KG 78,baker_hughes_slide_drilling_v1,train,0,0
1971,BKR,Rotary Drilling,AR 59ST1,baker_hughes_rotary_drilling_v2,train,0,0
1972,  baker  hughes ,CIRCULATION,BH-3,baker_hughes_circulating_v1,train,0,0
1973,  Baekr-Hughes ,ROT DRILL,MB 30H,baker_hughes_rotary_drilling_v1,test,1,0
1974,Hal,drilling - rotary,MB-081H,halliburton_rotary_drilling_v1,train,0,0
1975,HAL,Rot. Drilling,MB-042A,halliburton_rotary_drilling_v1,val,0,0
1976,HALLIBZRTON,tih,KG5H,halliburton_trip_in_v1,train,0,0
1977,SLB,drilling - rotary,MB-035A,slb_rotary_drilling_v1,train,0,0
1978,halliburton energy services,drilling - rotary,MB-96ST1,halliburton_rotary_drilling_v1,train,0,0
1979,BakerHughes,tripping in,kg-18,baker_hughes_trip_in_v1,val,0,0
1980,HALLIBURTON,hole circulation,mb-5ST1,halliburton_circulating_v1,train,0,0
1981,  halliburton ,Rot Drill,BH-089ST1,halliburton_rotary_drilling_v1,train,0,0
1982,BKR,  tripping  in ,mb-52,baker_hughes_trip_in_v1,train,0,0
1983,  BKR ,run in hole,AR 28,baker_hughes_trip_in_v1,val,0,0
1984,HAL,  cicrulating ,WELL-AR-68H,halliburton_circulating_v2,train,0,0
1985,Halliburton Energy Services,tirpping out,MB35A,halliburton_trip_out_v1,train,0,0
1986,Schlumberger Ltd,CICR,bh-40,slb_circulating_v1,test,0,0
1987,SL Ltd,TOOH,NS-078,slb_trip_out_v1,train,0,0
1988,  Halliburton ,DRILLING - SLIDE,AR75,halliburton_slide_drilling_v1,train,0,0
1989,halliburton energy services,Hole Circulatin,NS58,halliburton_circulating_v2,train,0,0
1990,Halliburton,drilling - rotary,AR-96,halliburton_rotary_drilling_v2,train,0,0
1991,Schlumberger,rotary drill,MB74H,slb_rotary_drilling_v1,train,0,0
1992,SLB,  trip-in ,BH 31,slb_trip_in_v1,train,0,0
1993,Schlumberger Ltd,CIRCULATE,KG-20H,slb_circulating_v1,train,0,0
1994,HAL,Runniag In Hole,NS-010ST1,halliburton_trip_in_v1,train,0,0
1995,slb ltd,slide drill,BH9H,slb_slide_drilling_v1,train,0,0
1996,  SLB ,POOH,KG 28ST1,slb_trip_out_v1,val,0,0
1997,halliburton energy services,POOH,NS 1A,halliburton_trip_out_v1,val,0,0
1998,Schlumbergeer,rot. drilling,BH-034A,slb_rotary_drilling_v1,train,0,0
1999,HAL,hole circulation,ar-48,halliburton_circulating_v2,val,0,0
2000,BakerHughes,tripping in,BH-80H,baker_hughes_trip_in_v1,train,0,0
2001,  Bakerhughes ,trippign in,mb-85ST1,baker_hughes_trip_in_v1,val,0,0
2002,BakerHughs,circulate,WELL-AR-9A,baker_hughes_circulating_v2,val,0,0
2003,HALLIBURTON CO,rotagy drlg,MB-95A,halliburton_rotary_drilling_v1,test,0,0
2004,HAL,run inhole,MB-005ST1,halliburton_trip_in_v1,train,0,0
2005,Halliburton Co,trip out,BH-022ST1,halliburton_trip_out_v1,train,0,0
2006,  HAL ,Rotary Drilll,bh-11,halliburton_rotary_drilling_v1,test,0,0
2007,Halliburton Energy Services,circvlation,AR9A,halliburton_circulating_v2,val,0,0
2008,Halliburton,CIRCULATING,NS-019H,halliburton_circulating_v2,train,0,0
2009,SLB Ltd,pull out of hole,WELL-AR-75,slb_trip_out_v1,train,0,0
2010,schlumberger ltd,cilc,NS31,slb_circulating_v2,train,0,0
2011,Bakerhuhes,pulling out of hole,BH 80H,baker_hughes_trip_out_v1,train,0,0
2012,BakerHughes,  running  in hole ,NS19H,baker_hughes_trip_in_v1,train,0,0
2013,Baker Hughes,TRIPPING IN,AR 90H,baker_hughes_trip_in_v1,train,0,0
2014,Schlumberger Ltd,rot drill,NS 28ST1,slb_rotary_drilling_v2,test,0,0
2015,Halliburton Co,circulation,WELL-NS-53,halliburton_circulating_v2,train,0,0
2016,Schlumberger,circulate,NS-062,slb_circulating_v2,train,0,0
2017,HAL,circulate,NS-058,halliburton_circulating_v2,train,0,0
2018,bakerhughes,Rotary Drlg,AR-65H,baker_hughes_rotary_drilling_v2,train,0,0
2019,  Schlumberger  Limited ,slide drill,MB95A,slb_slide_drilling_v1,test,1,0
2020,Halliburton Intl,rotating drrilling,ns-14A,halliburton_rotary_drilling_v2,test,1,1
2021,SLB LTD,circ.,MB-78,slb_circulating_v1,train,0,0
2022,Baker Hughe sCo,Sliding,KG-030,baker_hughes_slide_drilling_v1,train,0,0
2023,  HAL ,tripping in,NS-019H,halliburton_trip_in_v1,train,0,0
2024,Baker Hughes,Tripping Out,WELL-MB-49,baker_hughes_trip_out_v1,train,0,0
2025,Baker Hughes Co,tripping out,WELL-AR-39H,baker_hughes_trip_out_v1,train,0,0
2026,Baker Hughes CCo,DILLING - ROTARY,kg-72H,baker_hughes_rotary_drilling_v1,train,0,0
2027,Halliburton Energy Services,RIH,NS-052ST1,halliburton_trip_in_v1,train,0,0
2028,BKR,running in hole,WELL-BH-38,baker_hughes_trip_in_v1,train,0,0
2029,Baker Hughes Company,circulating,NS 14A,baker_hughes_circulating_v2,test,1,0
2030,Bkr,slide drill,AR 18,baker_hughes_slide_drilling_v1,test,0,0
2031,HAL,  tripping  in ,KG-088H,halliburton_trip_in_v1,train,0,0
2032,HALLIBURTN,sliding mode drilling,bh-73H,halliburton_slide_drilling_v1,test,0,0
2033,Halliburton,ROT DRILL,KG 1H,halliburton_rotary_drilling_v1,val,0,0
2034,SLB,rih,kg-7,slb_trip_in_v1,test,0,0
2035,BKR,  sliding  mode driling ,bh-17,baker_hughes_slide_drilling_v1,train,0,0
2036,Bkr,  running  in hole ,MB89,baker_hughes_trip_in_v1,test,0,0
2037,BKR,trip-out,MB47,baker_hughes_trip_out_v1,train,0,0
2038,  Halliburton  Energy Services ,Circulation,ar-70ST1,halliburton_circulating_v2,train,0,0
